,category,content
24,business,"bringing swiss miners glencore  and xstrata  together would add value but is not on the agenda at the moment, glencore chief executive ivan glasenberg said in a newspaper interview on saturday.
"
25,business,"experts say the revamped good faith estimate form still falls short of telling borrowers exactly what they will be paying.
"
26,business,"deutsche bank  chief executive josef ackermann will appear in a munich court on thursday to testify in one of the lawsuits brought against the bank by fallen german media mogul leo kirch.
"
27,business,"the standard & poor?s 500-stock index made up some of the week?s losses, and the dow and the nasdaq also rose ? each dodging a global slump in the wake of japan?s tragedy.
"
28,business,"japan's economy offered more signs of recovery from the deadly march earthquake on tuesday, but moody's ratings agency warned both growth and government action may fall short of what is necessary to bring tokyo's ballooning debt back under control.
"
29,business,"stocks jumped monday on corporate dealmaking and easing worries about japan's nuclear crisis.
"
30,business,"embracing the virtual can be great, but sometimes doing things the old-fashioned way is better, especially when it comes to interacting with customers and partners.
"
31,business,"the unemployment rate fell in two-thirds of the nation's states last month.
"
32,business,"bank of america corp won the dismissal of a bias lawsuit by black financial advisers at the former merrill lynch &amp; co who said they were paid lower bonuses than white counterparts to stay on when the companies merged.
"
33,business,"how domestic equities fared during troubles abroad, the success of commodities and more.
"
34,business,"the bankrate deal of 2009 showed the perils of management buyouts and how management could potentially abuse its position. now it's time to cash out.
"
35,business,"china, wielding its huge dollar holdings, on friday pressed washington to tackle its huge fiscal deficit and said it would raise the issue of discrimination against chinese investors at high-level talks next week.
"
36,business,"signs of declining consumer demand set the market on course for its third week of losses.
"
37,business,"a mortgage broker who secretly recorded two friends accused of trying to cover up one of the biggest u.s. insider trading cases on record pleaded guilty to involvement in the 17-year scheme.
"
38,business,"the japanese government plans to dedicate up to 10 trillion yen ($127 billion) in crisis lending to businesses to help them finance day-to-day operations and repair damage from last...
"
39,business,"investors got an unexpected lift from two bellwether companies ' intel and united technologies ' helping to spark a broad-based rally.
"
40,business,"did you make money on brics? then maybe you will love civets.
"
41,business,"panera bread's founder and chairman took a leap of faith one year ago with the opening of a pay-what-you-want restaurant in suburban st. louis. ...
"
42,business,"the developers of some of the city's most expensive condominiums would rather wait for the right tenant than bring in, say, a noisy bar or (horrors!) a discount store.
"
43,business,"the bank cautions that growth in developing countries like china could put as many as one billion more cars on the road by midcentury.
"
44,business,"hawtai motor of beijing took a 29.9 percent stake in saab's parent, spyker cars, and lent saab 30 million euros to restart production.
"
45,business,"lawyers for raj rajaratnam on monday rested their case for the defense in the federal trial accusing the galleon group llc founder of insider trading.
"
46,business,"matthew weiner, the ""mad men"" creator, will continue running the show for two more seasons with an option for a third. amc affirmed that the show would not return until early 2012.
"
47,business,"two new companies are trying to provide a valuable service: moderately priced investment management.
"
48,business,"he helped build the circus circus casino empire in nevada and expand the las vegas strip.
"
49,business,"daniel mudd, the former ceo of government-sponsored mortgage firm fannie mae, has received notice from u.s. regulators that he may face claims for allegedly misleading investors...
"
50,business,"this elegant machine seemed worthy of a tip of the hat. we loved the round doors and general swoop of it all. there's also a theme at work here, ...
"
51,business,"if you need any evidence about how serious chrysler is about creating a next generation of the dodge viper, here it is. expect to see the new ...
"
52,business,"a futures regulator proposal that would place position limits in the commodities markets may not prevent manipulation or speculation, and would prevent operators of commodity...
"
53,business,"lessons from the turnaround guys (who see the same mistakes all too often). do good times make you stupid?
"
54,business,"bidders set to duke it out for blockbuster at a bankruptcy auction monday reportedly include dish network and carl icahn.
"
55,business,"taxpayers who bought a home in 2008 and got a credit on their federal tax return may face delays in getting their refunds this year.
"
56,business,"daily deal site groupon files for initial public offering of stock worth up to $750 million.
"
57,business,"the use of hardball tactics has gotten wall street's attention, but whether it will permanently change the culture is debatable.
"
58,business,"with the expected introduction of the 2012 nissan versa at the new york auto show next week, the u.s. could lose the last of a breed: the sub-$10,000 ...
"
59,business,"the number of people who signed contracts to buy homes fell sharply in april, hitting its lowest point since fall and renewing fears that a recovery ...
"
60,business,"positives and negatives in the economy are reminiscent of those from a year ago, when the recovery sputtered.
"
61,business,"in a new book, edward humes tells how a former river-rafting guide convinced wal-mart to change its environmental policies.
"
62,business,"the u.s. supreme court on tuesday questioned a massive sex discrimination lawsuit on behalf of at least 500,000 american women claiming that ...
"
63,business,"the $525 million cash deal is part of a broader consolidation wave among pharmacy health care providers.
"
64,business,"japan's benchmark nikkei average closed up 5.68 percent at 9,093.72 on wednesday, while the broader topix gained 6.64 percent to 817.63.
"
65,business,"on average, viewers of online video spent 4 hours 39 minutes watching in january, according to the nielsen company.
"
66,business,"research grants from nasa used to developed lightweight composites are cited in the world trade organization's report.
"
67,business,"the week, with its bite-size articles, the full arc of opinion and a skinny format is growing where other newsweeklies are lagging.
"
68,business,"an analysis of census data shows that it's more important to invest now in education than in infrastructure, an economist writes.
"
69,business,"medicare and social security trust funds will be exhausted sooner than estimated last year, largely because of changing forecasts of longevity for the elderly.
"
70,business,"the national labor relations board says in a complaint that the company chose south carolina for its new 787 dreamliner production line in retaliation against a union, which is illegal.
"
71,business,"nasdaq omx group  and intercontinentalexchange inc  appealed directly to nyse euronext  stockholders on tuesday, asking them to press the big board's directors to sit down to talk about their joint bid.
"
72,business,"bp's partners in russian joint venture tnk-bp have rejected a peace proposal by the british oil major to involve them in talks on joining a disputed bp alliance with russia's...
"
73,business,"ireland tried to draw a line under its financial crisis on thursday by saying its banks need a further 24 billion euros ($34.11 billion) to withstand further economic shocks.
"
74,business,"a 65-year-old couple retiring this year will spend $230,000, on average, on medical expenses, down 8% from a year ago, according to fidelity ...
"
75,business,"development projects next door to airports are back in vogue as financially struggling cities look to attract businesses.
"
76,business,"more than one-fourth of u.s. homes have cut the landline and now use cellphones.
"
77,business,"american chief executives say they plan to hire. but consumers remain far from certain that jobs will materialize.
"
78,business,"nasdaq omx group inc  is open to selling nyse euronext's  american stock exchange to get antitrust clearance and may also consider offering a break-up fee to the big board parent, the wall street journal reported on its website on friday.
"
79,business,"hedge fund founder raj rajaratnam and his family have invested $25 million in a $35 million fund managed by one of his former top executives who testified at rajaratnam's insider trading trial, the jury heard on thursday.
"
80,business,"nasdaq omx group inc  told investors it could sell nyse euronext's  american stock exchange and offer a break-up fee to overcome antitrust concerns in its $11.3 billion bid for the big board parent, a source familiar with the situation said on friday.
"
81,business,"boeing co  will lay off about 510 employees in its space exploration division as the united states' space shuttle program draws to a close.
"
82,business,"u.s. market regulators on friday sued the former chief financial officer of a multibillion-dollar hedge fund founded by daniel zwirn, accusing him of improperly transferring $870 million between the fund's accounts.
"
83,business,"len blavatnik is the leading bidder for the music company. but his last big buyout, of the chemical company lyondell, ended in bankruptcy.
"
84,business,"five big medical groups are creating a consortium to share patient data electronically.
"
85,business,"ireland's government expects the country's debts will be restructured within the next three years, the irish mail on sunday reported, citing an unnamed senior minister.
"
86,business,"state street corp , the world's third largest institutional investor, said it was under investigation by the securities and exchange commission (sec) for its foreign exchange pricing methods for pension plans.
"
87,business,"oil collapsed into free-fall on thursday, diving as much as 10 percent and sending u.s. crude back under $100 a barrel as investors staged a nearly unprecedented stampede for the exits.
"
88,business,"oil prices bounced back on friday from a torrid 10 percent slide the previous session, as shellshocked traders mulled market fundamentals and the frenzy this week that wiped out half the year's gains.
"
89,business,"euro zone inflation rose further above the european central bank's target in april, increasing the chances of an interest rate rise in june, despite a weakening of economic sentiment and household demand.
"
90,business,"delta air lines inc. says raising fares should allow it to make up for the higher fuel prices that drove a $318 million loss in the first qu ...
"
91,business,"the u.s. trade deficit fell 2.6% to $45.8 billion in february because of a big drop in oil imports.
"
92,business,"warner music, one of the big four music record companies, is near a sale to the russian-born industrial magnate len blavatnik for more than $3 billion.
"
93,business,"a facebook promo that casual dining chain t.g.i. friday's will officially roll out thursday lets you buy dad a beer.
"
94,business,"ford ceo alan mulally will tell an investor meeting today that he wants to raise global sales 50% to 8 million in just four years.
"
95,business,"bp's plan to gain a foothold in russia's offshore arctic oilfields through a deal with state-controlled rosneft has collapsed, opening the way for other oil groups to try to fill its place.
"
96,business,"eu finance ministers on saturday urged portugal to commit to reforms and defended the region's austerity steps as tens of thousands of european workers protested in budapest against spending cuts.
"
97,business,"cisco systems inc  ceo john chambers, cutting back a bloated management bureaucracy he helped build, has kicked off a sweeping overhaul to revive the networking equipment maker's flagging fortunes.
"
98,business,"drugmakers merck and sanofi-aventis on tuesday abandoned a year-old effort to create a veterinary medicine joint venture because of the deal's ...
"
99,business,"stocks closed slightly higher thursday, shrugging off earlier losses due to an unexpected rise in unemployment claims.
"
100,business,"the unemployment rate rose to 9.1 percent, raising concerns once again about the underlying strength of the economic recovery.
"
101,business,"wendy's/arby's group plans to raise prices. the company also cut its outlook after a disappointing earnings report.
"
102,business,"now chrysler is firing the outside social media firm it hired its official chryslerautos twitter account for dropping the f-bomb in a tweet.
"
103,business,"tripadvisor would become a separate, publicly traded company under the plan.
"
104,business,"rising sales and membership fees at the warehouse club outweighed higher costs for commodities and declining profit margins.
"
105,business,"swiss bank ubs  is committed to its integrated business model, including its investment bank.
"
106,business,"a new report says that online mapping to aid humanitarian services requires better coordination and communication between volunteers and agencies.
"
107,business,"plans to open a new cruise ship terminal has drawn opposition from residents in charleston, s.c., who are fearful that too many visitors will overwhelm the city's cultivated charm.
"
108,business,"a decline in new problem loans may signal a receding in 5-year foreclosure wave
"
109,business,"the wi-fi-only version of r.i.m.'s tablet computer will match apple's ipad in price and storage.
"
110,business,"annual growth in gross domestic product slowed to 1 percent, down from 2.7 percent. but the outlook is positive, thanks to a strong mining sector and the likely rebound after disasters at home and abroad.
"
111,business,"retail gasoline demand fell last week versus a year earlier, as prices dropped for a second straight week but stayed above 2010 levels, a report by mastercard advisors' spendingpulse showed on tuesday.
"
112,business,"if you follow your company's expense policy, you shouldn't be held liable for your corporate card balance.
"
113,business,"readers respond to 'behind the curve: how law students lose the grant game, and how their schools win' (may 1).
"
114,business,"comcast has been in negotiations with the ultimate fighting championship, which wants to expand its television footprint.
"
115,business,"statoil, the norwegian oil and natural gas giant, said on monday that it would sell a 24.1 percent stake in the joint pipeline venture gassled for 17.35 billion norwegian kroner.
"
116,business,"new-home sales rose 11% in marchto a seasonally adjusted rate of 300,000 homes. that follows three straight monthly declines.
"
117,business,"first-quarter growth of 1.8 percent was the weakest since last spring. corporate earnings results were mixed.
"
118,business,"aside from maybe the odd cheeseburger stain on his tie, nothing much sticks to warren buffett.
"
119,business,"in a big win for business, the treasury proposed on friday to exempt commonly used foreign exchange swaps and forwards from the most onerous new rules for the derivatives market.
"
120,business,"french finance minister christine lagarde on wednesday launched her bid to lead the international monetary fund.
"
121,business,"pending sales of existing u.s. homes were much stronger than expected in march and a homebuilding company trimmed losses, offering faint glimmers of hope for the depressed u.s. housing market.
"
122,business,"nike inc  plans to raise the prices on its shoes and sports clothing markedly in 2012 to cope with the rising costs of oil, cotton and transportation that are hurting its...
"
123,business,"nike inc  plans to raise the prices on its shoes and sports clothing markedly in 2012 to cope with the rising costs of oil, cotton and transportation that are hurting its...
"
124,business,"a bevy of issues are dogging the ailing housing industry: high unemployment, tighter bank lending standards and bigger required down-payments ...
"
125,business,"u.s. homebuilder sentiment slipped a notch in april as home prices continued to fall in most areas of the country amid widespread foreclosures, a survey released on monday showed.
"
126,business,"president obama has chosen businessman john bryson to lead the commerce department.
"
127,business,"consumers continue to spend billions on overdraft protection fees, despite a new federal reserve regulation that requires banks to obtain customers' ...
"
128,business,"uruguay's economy grew by 6.5 percent in the last quarter of 2010 compared with the year-earlier period, while full-year growth came in at 8.5 percent, the central bank said on...
"
129,business,"mr. harvey created two significant business brands in very disparate fields ' a film company and a soap company.
"
130,business,"tightening of regulations for offshore drilling after the bp oil disaster in the gulf of mexico is strangling small independent companies, some ...
"
131,business,"oil traded as high as $106.69 a barrel thursday in a nervous and uncertain energy market.
"
132,business,"the u.s. futures regulator must swallow its pride and ask congress for a delay in implementing derivatives regulations, some lawmakers and businesses said on thursday as they criticized the agency for moving too fast.
"
133,business,"a lawyer for a technology consultant who faces insider trading charges tried to shatter the credibility of a key prosecution witness, citing his disoriented romp on a san francisco street after a bad drug experience.
"
134,business,"growth in eastern europe should accelerate only slightly this year as domestic demand recovers, but trouble in the euro zone periphery, wide budget deficits and inflation pressures still pose risks, the imf said on thursday.
"
135,business,"the rechristening of the half-built xanadu meadowlands as american dream@meadowlands drew mixed reactions from businessmen who already have variants of the new title.
"
136,business,"the obama administration is pushing back on wall street lobbyists and republican lawmakers, using the treasury department's no. 2 official to rebut ""critics and naysayers"" of new financial regulation.
"
137,business,"major auto suppliers blew past profit expectations on friday, suggesting the recovery in the global auto market remains strong despite rising oil prices and the disaster in japan.
"
138,business,"morgan stanley's first-quarter profit fell nearly 50 percent, but the results were better than many analysts had forecast thanks to stronger-than-expected fixed-income trading revenue.
"
139,business,"the federal reserve said on tuesday the u.s. recovery is gaining traction and inflation pressure from soaring energy costs should be short-lived, allowing it to maintain its...
"
140,business,"the u.s. federal reserve joined other group of seven central banks in intervening in currency markets to help weaken the japanese yen on friday, a new york federal reserve...
"
141,business,"u.s. consumer sentiment improved in early may as optimism about jobs reduced the pinch from high gasoline and food prices, a survey released on friday showed.
"
142,business,"a new ad campaign from duncan hines forgoes its usual focus on children and tries to put a spotlight on adult sensibilities.
"
143,business,"oil and other commodities prices fell early then rebounded along with stocks as the dollar weakened.
"
144,business,"business at u.s. manufacturers grew a bit more slowly for a second straight month in april but their costs rose to the highest level in nearly three years, an industry report showed on monday.
"
145,business,"signs of weakness in the u.s. economic recovery mounted as reports on wednesday showed a sharp slowdown in the vast services sector and less hiring by private companies in april.
"
146,business,"the decision follows other splits and departures by banks as financial institutions move to comply with the volcker rule.
"
147,business,"goldman sachs group inc  will buy back $5 billion of preferred stock from warren buffett, ending a costly deal that helped shore up confidence in the bank at the height of the...
"
148,business,"goldman sachs group inc  will buy back $5 billion of preferred stock from warren buffett, ending a costly deal that helped shore up confidence in the bank at the height of the...
"
149,business,"the number of americans filing for jobless aid rose to an eight-month high last week and productivity growth slowed in the first quarter, clouding the outlook for an economy that is struggling to gain speed.
"
150,business,"shortages of some japanese-made parts are expected to force the automaker to halt production at one or more plants.
"
151,business,"the new centers will largely be placed in regions most affected by the rising tide of struggling homeowners.
"
152,business,"meg whitman, whose track record at picking start-ups for ebay to acquire was mixed, will help a prominent venture capital firm pick winners.
"
153,business,"a new international monetary fund working paper argues that the focus in the dodd-frank act on central clearing of derivatives is not the best solution. but there are strong counterarguments to consider.
"
154,business,"mr. selame had a minimalist sensibility and defied convention to make a bank warm and approachable.
"
155,business,"even after former mckinsey &amp; co global head rajat gupta retired in 2007, he used its new york office and had an executive assistant, email address and phone at the elite management consultancy.
"
156,business,"austrian finance minister maria fekter backed french counterpart christine lagarde for the top job at the international monetary fund and threw her weight behind austrian banks in the debate over new capital rules.
"
157,business,"soaring prices in gas and other household costs pulled down u.s. consumer confidence in march.
"
158,business,"general motors is vastly increasing capacity at the plant that makes the chevrolet volt plug-in extended-range electric car.
"
159,business,"boeing co's 747-8 intercontinental, the new passenger version of its legendary jumbo jet, completed its maiden flight without a hitch on sunday, marking a key milestone for the...
"
160,business,"at a conference, some in the banking industry had little good to say about the dodd-frank legislation meant to keep banks from failing.
"
161,business,"policy makers should acknowledge that current regulation of banks' capital and international agreements to regulate the banks are insufficient, an economist writes.
"
162,business,"moody's investors service said it may downgrade the debt ratings of bank of america corp, citigroup inc and wells fargo &amp; co, citing concerns about waning u.s. political willingness to offer support for the largest banks.
"
163,business,"donald longueuil, a former portfolio manager at sac capital advisors, pleaded guilty to conspiracy and securities fraud on thursday.
"
164,business,"the top u.s. securities regulator on friday called for a broad reassessment of high-frequency trading on the one-year anniversary of the so-called ""flash crash"" of 2010.
"
165,business,"after shrinking during the recession, paychecks are growing again for top american executives.
"
166,business,"an old-time movie mogul will market ""creature"" by connecting with fans on the backroads of the internet.
"
167,business,"the economics of crime suggest that making lists of registered gun owners public would help criminals, an economist writes.
"
168,business,"paris hilton, the woman who perfected the art of being famous for being famous, says she has met all of her professional goals.
"
169,business,"hewlett-packard co  said on tuesday it is assessing the impact to its business of the earthquake and tsunami that struck japan earlier this month and that its office in sendai,...
"
170,business,"the new york times's online pay model, which takes effect on march 28, may be the most watched experiment in american journalism.
"
171,business,"vodafone's exit from france's sfr marks another step in the revamp of its portfolio and reflects how europe's telecom giants are ditching weaker assets to achieve scale elsewhere ahead of a wave of big investments.
"
172,business,"glencore's  top management, led by chief executive ivan glasenberg, is starting several days of meetings with big u.s. fund managers who could support its flotation, two people...
"
173,business,"fitch on thursday cut portugal's credit ratings by two notches, saying risks to the country's financing rose after parliament failed to pass fiscal austerity measures and the...
"
174,business,"many people who default on mortgages that they can afford to pay have high credit scores and aren't maxed out on their credit cards, study f ...
"
175,business,"if you ever get weepy eyed about that oldsmobile alero or plymouth reliant that you once rented, you're not alone. the greatest rental cars of ...
"
176,business,"in the lightest volume session of the year, u.s. stocks fell on monday after a lowered outlook from kimberly-clark increased concerns about higher commodity costs squeezing profits in coming quarters.
"
177,business,"the growth of more complex capital markets and a global economy created much larger financial institutions. people don't matter as much; instead, size and technology carry the day.
"
178,business,"stocks rose on friday on strength from caterpillar and other industrials, lifting the dow and nasdaq to their best monthly performance since december.
"
179,business,"google has locked horns with microsoft in a high-stakes showdown to dominate cloud computing.
"
180,business,"the dow jones transports closed at an all-time high on thursday, leading u.s. stocks higher and signaling more gains due to its role as a touchstone of economic demand.
"
181,business,"the nasdaq jumped to a 10-year high as u.s. stocks rallied on wednesday after fed chairman ben bernanke's first-ever press conference did nothing to short-circuit investors' optimistic outlook on the economy.
"
182,business,"a fresh batch of corporate results pushed u.s. stocks to their best levels since june 2008 on tuesday, renewing optimism that profit growth will remain resilient enough to keep equities on the rise.
"
183,business,"how the fed chairman addressed points raised by economix readers when he met the press.
"
184,business,"u.s. officials issued a mostly positive environmental review friday to a controversial, 1,661- mile extension of a u.s.-canadian private pipeline ...
"
185,business,"in what has become a familiar ritual over the past two weeks, jurors in the insider trading trial of hedge fund manager raj rajaratnam told the judge they needed more time to weigh the evidence.
"
186,business,"general electric co  reached a $3.2 billion cash deal to acquire a french maker of high-efficiency motors used in the oil and gas sector, pouring more money into its most profitable division.
"
187,business,"lower unemployment and fewer bankruptcies helped reduce the nation's economic stress in january compared with a year earlier, according to the ...
"
188,business,"u.s. stocks closed at their lowest levels in a month on monday in a sign of increasing doubt that equity markets can weather recent weakness in global manufacturing and demand.
"
189,business,"u.s. stocks dipped in light volume on tuesday as lingering concerns about a slowdown in growth more than offset gains in energy shares.
"
190,business,"the new masters golf tournament app for the ipad is the perfect playing partner for golf fans during this week's golf tournament from augusta ...
"
191,business,"u.s. stocks ended a three-day losing streak on wednesday as recent underperformers led a thinly traded rally that wasn't seen as strong enough to overcome worries about waning global demand.
"
192,business,"u.s. stocks rose for a second day on thursday in a choppy session, with technology and consumer discretionary stocks leading the way after upbeat earnings.
"
193,business,"japanese retail sales fell 8.5 percent in march from a year earlier, logging their biggest year-on-year decline since march 1998, after a devastating earthquake and nuclear crisis battered consumer confidence, government data showed on wednesday.
"
194,business,"bankrupt bookstore chain borders group inc  plans to end a pact with seattle's best coffee and to begin operating its own in-store cafes as it restructures and tries to become profitable.
"
195,business,"the jury in the closely watched insider trading trial of hedge fund manager raj rajaratnam reheard on monday a dozen fbi phone taps centered on one transaction in the charges against the galleon group founder.
"
196,business,"two key studies of pfizer's pneumococcal vaccine for children show it works at least as well as a rival in adults.
"
197,business,"the array of green software applications is growing, and helping raise awareness about things all of us can do to be more environmentally friendly ...
"
198,business,"the treasury department still maintains significant stakes in a few rescued companies like a.i.g. and g.m., and it hopes to avoid losing money on them.
"
199,business,"federal regulators advanced tighter rules wednesday for agencies that rate the debt of companies and governments.
"
200,business,"general motors  plans to more than double its sales in china to around 5 million units by 2015, its china head said on monday, unveiling the company's five-year plan for the world's biggest auto market.
"
201,business,"the american auto industry has made small cars a central part of its strategy, seeking to capitalize on a shift in the preferences of consumers in an era of high gas prices.
"
202,business,"long-term jobless dismayed as states move to reduce benefits
"
203,business,"jamie dimon and elizabeth warren, both power players in u.s. finance, used a high-profile u.s. chamber of commerce platform on wednesday to advance opposing agendas in the debate over regulation reform.
"
204,business,"on the one-year anniversary of the gulf oil spill, bp plc is facing challenges to its effort to contain another kind of disaster: mass litigation.
"
205,business,"american international group inc  and the treasury are  considering whether to drop or scale back a large public offering of aig shares, because of the recent decline in the bailed-out insurer's share price, financial times reported on tuesday, citing people close to situation.
"
206,business,"while insisting their institutions are healthy, public-sector banks have expressed alarm that the standard may require them to exclude much of the funds in their reserves.
"
207,business,"american international group and thetreasury on wednesday said they will sell around $9 billion in aig stock, but sources familiar with the situation said the treasury would pull the sale if it cannot be done profitably.
"
208,business,"american international group and the treasury said they will sell around $9 billion in aig stock, suggesting the government's exit from its crisis-era investment will be slower and less profitable than originally thought.
"
209,business,"q: which companies spent the most on r&amp;d in 2010?
"
210,business,"the economies of the biggest u.s. metropolitan areas began to grow again by the end of last year, but the recovery was ""slow, uneven and inconsistent"" and failed to spur much...
"
211,business,"why do americans seem unperturbed about the growing gap between the rich and the poor?
"
212,business,"the ratings agency said it was concerned about japan's growth prospects and its ability to reduce its deficit.
"
213,business,"cities and counties are pressing the congress to drop proposals that would slash funding for an almost $4 billion federal grant program they say creates thousands of jobs.
"
214,business,"u.s. stocks fell in the aftermath of japan's devastating earthquake on monday, but other than specific industries such as nuclear power, the broad impact on equities was expected...
"
215,business,"manufacturing in new york state rose to a nine-month high in march, but a sharp slowing in new orders suggested that economic growth could be less robust in future months.
"
216,business,"the vu1 corporation, a technology start-up in new york, offers an alternative to the harsh light of compact fluorescents and the high price of led lamps.
"
217,business,"the military contractor wants investors to be able to buy and sell its shares freely, while it maintains a balance between french and german interests.
"
218,business,"wall street rebounded after three days of declines on thursday, but the advance could be temporary as concerns about japan's nuclear crisis persisted.
"
219,business,"stocks gained after a week of heightened volatility on friday, but investors were reluctant to make big bets due to turmoil in the middle east and japan's nuclear crisis.
"
220,business,"stocks fell 1 percent but ended far from session lows on tuesday on the federal reserve's more upbeat economic view and growing sentiment that japan's nuclear crisis would only...
"
221,business,"the s&amp;p and nasdaq dropped into negative territory for the year on wednesday in a crush of trading on the perception japan's nuclear crisis would continue to be a headwind...
"
222,business,"oil prices jumped to their highest close in 2-1/2 years on thursday in thin end-of-quarter trading that left brent near a record quarterly rise of more than $22 as libya's conflict and middle east unrest kept supply threats in focus and u.s. economic data added lift.
"
223,business,"apple on wednesday reported another exceptional quarter, nearly doubling its net income.
"
224,business,"oil prices eased on wednesday in choppy, thin trading, pressured by record high stockpiles at the cushing delivery point for u.s. crude even as libya and middle east uncertainty supported oil, which remained on track to end the first-quarter up more than 10 percent.
"
225,business,"the sendai toyopet dealership's recovery effort offers a glimpse into japan's broader quest for something like a return to normalcy.
"
226,business,"global economic recovery is on track, helped by a stronger united states, but threats ranging from high oil prices to european sovereign debt crises could yet combine to create a bout of stagflation, the oecd said on wednesday.
"
227,business,"home prices are falling in most major u.s. cities, and the average prices in four of them are at their lowest point in 11 years.
"
228,business,"oil prices rose on tuesday as unrest in yemen threatened to crimp energy exports from the gulf region and potentially spill over into neighboring saudi arabia.
"
229,business,"oil prices rose 1 percent on monday as spreading unrest in the middle east intensified concerns about potential threats to the region's oil supply and u.n.-mandated air strikes...
"
230,business,"u.s. crude fell on monday for a third day in the lowest trading volume of the year, as libyan rebels regained key territory and redoubled efforts to resume oil exports from the opec country.
"
231,business,"crude oil prices rose on tuesday in technical, thin trading and lifted by stronger equities and lowered expectations about a quick return of libya's oil exporting capabilities.
"
232,business,"u.s. oil prices steadied on thursday after spiking in early trade on supply worries amid fighting in libya and growing unrest in the middle east.
"
233,business,"u.s. crude ended at a 2-1/2 year high on wednesday as palestinian rocket strikes on israel escalated middle east geopolitical risks and u.s. gasoline inventories posted the...
"
234,business,"at&t is once again inciting worry that competition and consumers will suffer from the deal to buy t-mobile for $39 billion.
"
235,business,"oil prices dipped slightly in choppy, thin trade on friday as traders weighed concerns about middle east unrest and libya's conflict as well as demand for oil in quake-hit japan and debt-laden europe.
"
236,business,"oil prices dipped slightly in choppy, thin trade on friday as traders weighed concerns about middle east unrest and libya's conflict as well as demand for oil in quake-hit japan...
"
237,business,"in giving an update friday on how it is coping with the crisis in japan, nissan added an ominous paragraph that probably gets what many motorists ...
"
238,business,"in early 2009, many stocks were severely depressed as the economy tanked. it's during these dark times for companies that huge money can be made ...
"
239,business,"marathon oil is acquiring 141,000 net acres of shale, 36 producing wells and 10 drilled wells in the eagle ford shale formation in south texas.
"
240,business,"cash-hungry states and municipalities are now selling ad space on government property, including school buses.
"
241,business,"from ice cream to copies to workouts, companies get creative
"
242,business,"oil prices dropped sharply on tuesday with brent crude falling below $108 a barrel for the first time in nearly three weeks as a deepening nuclear crisis in japan heightened risk...
"
243,business,"brent crude fell more than $1 on monday to below $113 on investor pessimism that economic growth will slow in the wake of japan's earthquake and tsunami, while easing unrest in...
"
244,business,"oil prices fell on friday after libyan leader muammar gaddafi's government said it would halt military action in response to a u.n. resolution for an immediate ceasefire.
"
245,business,"more chinese households are satisfied with current price levels and see less chance of rising inflation in the coming months, according to a central bank survey published on...
"
246,business,"oil rose by more than $2 on thursday as tensions in saudi arabia and bahrain fueled fears of further supply disruption while investors weighed the impact on energy demand from...
"
